id,name,site,phone,full_address,street,city,postal_code,state,reviews,working_hours,imported_at,dup_key,quality_score,is_primary,latitude,longitude,coord,has upick,upick offerings,upick source
13,Queens County Farm Museum,http://www.queensfarm.org/,718-347-3276,"73-50 Little Neck Pkwy, Queens, NY 11004",73-50 Little Neck Pkwy,Queens,11004,New York,4062,"{""Monday"": ""10AM-5PM"", ""Tuesday"": ""10AM-5PM"", ""Wednesday"": ""10AM-5PM"", ""Thursday"": ""10AM-5PM"", ""Friday"": ""10AM-5PM"", ""Saturday"": ""10AM-5PM"", ""Sunday"": ""10AM-5PM""}",2025-08-23 16:58:32.737089+00,queens county farm museum|queens|new york,4132,TRUE,40.7474785,-73.7220059,0101000020E610000038013C58356E52C048FB1F60AD5F4440,Yes,pumpkins (October pumpkin patch),https://www.queensfarm.org/queens-farm-pumpkin-patch/
14,Johnson's Corner Farm,https://www.johnsonsfarm.com/?utm_source=GMB,609-654-8643,"133 Church Rd, Medford, NJ 08055",133 Church Rd,Medford,8055,New Jersey,3677,"{""Monday"": ""8AM-8PM"", ""Tuesday"": ""8AM-8PM"", ""Wednesday"": ""8AM-8PM"", ""Thursday"": ""8AM-8PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM"", ""Sunday"": ""8AM-8PM""}",2025-08-23 16:58:32.737089+00,johnson's corner farm|medford|new jersey,3747,TRUE,39.919583,-74.8513421,0101000020E61000004F4D93637CB652C0927A4FE5B4F54340,Yes,strawberries; peaches; apples; pumpkins; assorted vegetables,https://www.johnsonsfarm.com/pick-your-own-strawberries-cherries-blueberries-and-more/
15,Hunt Club Farm,http://www.huntclubfarm.com/,757-427-9520,"2388 London Bridge Rd, Virginia Beach, VA 23456",2388 London Bridge Rd,Virginia Beach,23456,Virginia,3434,"{""Monday"": ""10AM-6PM"", ""Tuesday"": ""10AM-6PM"", ""Wednesday"": ""10AM-6PM"", ""Thursday"": ""10AM-6PM"", ""Friday"": ""10AM-6PM"", ""Saturday"": ""10AM-6PM"", ""Sunday"": ""10AM-6PM""}",2025-08-23 16:58:32.737089+00,hunt club farm|virginia beach|virginia,3504,TRUE,36.7730194,-76.0222248,0101000020E6100000404A91216C0153C03716B94CF2624240,Yes,pumpkins (pumpkin patch),https://www.huntclubfarm.com/harvest-fair ; https://www.huntclubfarm.com/farm-market
16,The Berry Farms,https://www.visittheberryfarm.com/,305-560-0531,"13720 SW 216th St, Miami, FL 33170",13720 SW 216th St,Miami,33170,Florida,3381,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""Closed"", ""Friday"": ""Closed"", ""Saturday"": ""6-11PM"", ""Sunday"": ""Closed""}",2025-08-23 16:58:32.737089+00,the berry farms|miami|florida,3451,TRUE,25.5659662,-80.4147669,0101000020E6100000A6BD778A8B1A54C032A42F29E3903940,Yes,strawberries; sunflowers; flowers (seasonal),https://www.visittheberryfarm.com/visit/activities ; https://www.visittheberryfarm.com/
17,Cherry Crest Adventure Farm,http://cherrycrestfarm.com/,717-687-6843,"150 Cherry Hill Rd, Ronks, PA 17572",150 Cherry Hill Rd,Ronks,17572,Pennsylvania,3073,"{""Monday"": ""Closed"", ""Tuesday"": ""10AM-5PM"", ""Wednesday"": ""10AM-5PM"", ""Thursday"": ""10AM-5PM"", ""Friday"": ""10AM-5PM"", ""Saturday"": ""10AM-7PM"", ""Sunday"": ""Closed""}",2025-08-23 16:58:32.737089+00,cherry crest adventure farm|ronks|pennsylvania,3143,TRUE,39.991668,-76.1285,0101000020E61000004E621058390853C0AF3E1EFAEEFE4340,Yes,pumpkins; sunflowers; zinnias; popcorn (u-pick),https://cherrycrestfarm.com/things-to-do/flowers-pumpkins-popcorn/ ; https://cherrycrestfarm.com/about/faqs/
18,Pennings Farm Market,http://www.penningsfarmmarket.com/,845-986-1059,"161 NY-94, Warwick, NY 10990",161 NY-94,Warwick,10990,New York,2795,"{""Monday"": ""9AM-8PM"", ""Tuesday"": ""9AM-8PM"", ""Wednesday"": ""9AM-8PM"", ""Thursday"": ""9AM-10PM"", ""Friday"": ""9AM-10PM"", ""Saturday"": ""9AM-10PM"", ""Sunday"": ""9AM-8PM""}",2025-08-23 16:58:32.737089+00,pennings farm market|warwick|new york,2865,TRUE,41.2355868,-74.3830078,0101000020E61000003AC72533839852C045AF50B5279E4440,Yes,apples; peaches; pumpkins,https://www.penningsfarmmarket.com/apple-picking-in-warwick-orange-county-ny/; https://www.penningsfarmmarket.com/
19,Southern Hill Farms,https://southernhillfarms.com/,407-986-5806,"16651 Schofield Rd, Clermont, FL 34714",16651 Schofield Rd,Clermont,34714,Florida,2760,,2025-08-23 16:58:32.737089+00,southern hill farms|clermont|florida,2830,TRUE,28.4492052,-81.6822412,0101000020E6100000F67EFED6A96B54C07231AB1CFF723C40,Yes,blueberries; strawberries; peaches; sunflowers; zinnias; vegetables,https://southernhillfarms.com/ ; https://southernhillfarms.com/blueberry-u-pick-info/
21,Schnepf Farms,https://schnepffarms.com/,480-987-3100,"24810 S Rittenhouse Rd, Queen Creek, AZ 85142",24810 S Rittenhouse Rd,Queen Creek,85142,Arizona,2669,"{""Sunday"": ""8AM-2:30PM"", ""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""Closed"", ""Thursday"": ""8AM-2:30PM"", ""Friday"": ""8AM-2:30PM"", ""Saturday"": ""8AM-2:30PM""}",2025-08-23 16:58:32.737089+00,schnepf farms|queen creek|arizona,2739,TRUE,33.2239972,-111.5888586,0101000020E6100000F93DFBDBAFE55BC0A232B4F0AB9C4040,Yes,peaches; mixed vegetables (u-pick garden),https://schnepffarms.com/u-pick-peaches/ ; https://schnepffarms.com/
22,Lynd Fruit Farm,http://www.lyndfruitfarm.com/,,"9399 Morse Rd SW, Pataskala, OH 43062",9399 Morse Rd SW,Pataskala,43062,Ohio,2560,"{""Monday"": ""10AM-5PM"", ""Tuesday"": ""10AM-5PM"", ""Wednesday"": ""10AM-5PM"", ""Thursday"": ""10AM-5PM"", ""Friday"": ""10AM-5PM"", ""Saturday"": ""10AM-5PM"", ""Sunday"": ""10AM-5PM""}",2025-08-23 16:58:32.737089+00,lynd fruit farm|pataskala|ohio,2610,TRUE,40.0544242,-82.6676559,0101000020E6100000D0DECFDFBAAA54C0348E475FF7064440,Yes,apples; berries; sweetcorn; sunflowers; pumpkins; asian pears; popcorn,https://lyndfruitfarm.com/pick-your-own/ ; https://lyndfruitfarm.com/apple-picking-schedule/
23,Clark's Elioak Farm,http://www.clarklandfarm.com/?utm_source=google-gmb-maps,410-730-4049,"10500 Clarksville Pike, Ellicott City, MD 21042",10500 Clarksville Pike,Ellicott City,21042,Maryland,2494,"{""Monday"": ""Closed"", ""Tuesday"": ""10AM-5PM"", ""Wednesday"": ""10AM-5PM"", ""Thursday"": ""10AM-5PM"", ""Friday"": ""10AM-5PM"", ""Saturday"": ""10AM-5:30PM"", ""Sunday"": ""10AM-5:30PM""}",2025-08-23 16:58:32.737089+00,clark's elioak farm|ellicott city|maryland,2564,TRUE,39.2364467,-76.8766455,0101000020E6100000E02BBAF51A3853C0A0DFADE2439E4340,Yes,pumpkins (hayride to pumpkin patch),https://clarklandfarm.com/fall_educational_tours.html ; https://clarklandfarm.com/special_weekend_events.html
25,Miller Farms,http://www.millerfarmsclinton.com/,301-297-9370,"10140 Piscataway Rd, Clinton, MD 20735",10140 Piscataway Rd,Clinton,20735,Maryland,2235,"{""Monday"": ""8AM-7PM"", ""Tuesday"": ""8AM-7PM"", ""Wednesday"": ""8AM-7PM"", ""Thursday"": ""8AM-7PM"", ""Friday"": ""8AM-7PM"", ""Saturday"": ""8AM-7PM"", ""Sunday"": ""9AM-5PM""}",2025-08-23 16:58:32.737089+00,miller farms|clinton|maryland,2305,TRUE,38.7500359,-76.9281879,0101000020E6100000BFC2386E673B53C0B8A9262D01604340,Yes,strawberries (spring),https://www.millerfarmsclinton.com/pick-your-own ; https://www.millerfarmsclinton.com/
26,Tougas Family Farm,http://www.tougasfamilyfarm.com/,508-393-6406,"234 Ball St, Northborough, MA 01532",234 Ball St,Northborough,1532,Massachusetts,2220,"{""Monday"": ""Closed"", ""Tuesday"": ""Closed"", ""Wednesday"": ""8AM-4PM"", ""Thursday"": ""8AM-4PM"", ""Friday"": ""8AM-8PM"", ""Saturday"": ""8AM-8PM"", ""Sunday"": ""8AM-5PM""}",2025-08-23 16:58:32.737089+00,tougas family farm|northborough|massachusetts,2290,TRUE,42.3453861,-71.6793583,0101000020E610000008313C9B7AEB51C01AFF999C352C4540,Yes,strawberries; cherries; blueberries; blackberries; peaches; nectarines; apples; pumpkins,https://tougasfamilyfarm.com/ ; https://tougasfamilyfarm.com/pick-your-own-fruit-seasons/
27,Butler's Orchard,http://www.butlersorchard.com/,301-428-0444,"22222 Davis Mill Rd, Germantown, MD 20876",22222 Davis Mill Rd,Germantown,20876,Maryland,2167,"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,butler's orchard|germantown|maryland,2237,TRUE,39.221456,-77.223226,0101000020E61000007B67B455494E53C062C092AB589C4340,Yes,apples; berries; tomatoes; flowers; pumpkins (seasonal),https://www.butlersorchard.com/pick-your-own/ ; https://www.butlersorchard.com/
29,Indian Ladder Farms,https://www.indianladderfarms.com/,518-724-9455,"342 Altamont Rd, Altamont, NY 12009",342 Altamont Rd,Altamont,12009,New York,2027,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,indian ladder farms|altamont|new york,2097,TRUE,42.655366,-73.973352,0101000020E6100000C1DF2F664B7E52C086747808E3534540,Yes,apples; berries; squash; pumpkins,https://www.indianladderfarms.com/pick-your-own/ ; https://www.indianladderfarms.com/hours-location/
31,Fishkill Farms,http://www.fishkillfarms.com/,845-897-4377,"9 Fishkill Farm Rd, Hopewell Junction, NY 12533",9 Fishkill Farm Rd,Hopewell Junction,12533,New York,2007,"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,fishkill farms|hopewell junction|new york,2077,TRUE,41.5180421,-73.8230601,0101000020E61000001E094504AD7452C0C0B91A344FC24440,Yes,apples; peaches; tomatoes; peppers; raspberries; flowers; sunflowers,https://www.fishkillfarms.com/visit/pick-your-own/ ; https://www.fishkillfarms.com/
32,Gilcrease Orchard,https://thegilcreaseorchard.org/,702-409-0655,"7800 N Tenaya Wy, Las Vegas, NV 89131",7800 N Tenaya Wy,Las Vegas,89131,Nevada,1944,"{""Sunday"": ""Closed"", ""Monday"": ""Closed"", ""Tuesday"": ""7-10AM"", ""Wednesday"": ""Closed"", ""Thursday"": ""7-10AM"", ""Friday"": ""Closed"", ""Saturday"": ""7-10AM""}",2025-08-23 16:58:32.737089+00,gilcrease orchard|las vegas|nevada,2014,TRUE,36.301839,-115.2502218,0101000020E6100000C3EF4BA203D05CC024D40CA9A2264240,Yes,apples; pumpkins; seasonal fruits & vegetables,https://thegilcreaseorchard.org/
33,Barton Orchards,http://www.bartonorchards.com/,845-227-2306,"63 Apple Tree Ln, Poughquag, NY 12570",63 Apple Tree Ln,Poughquag,12570,New York,1916,"{""Monday"": ""11AM-6PM"", ""Tuesday"": ""11AM-6PM"", ""Wednesday"": ""11AM-6PM"", ""Thursday"": ""11AM-10PM"", ""Friday"": ""11AM-9PM"", ""Saturday"": ""11AM-9PM"", ""Sunday"": ""11AM-6PM""}",2025-08-23 16:58:32.737089+00,barton orchards|poughquag|new york,1986,TRUE,41.607343,-73.7054021,0101000020E6100000E781D94E256D52C02E3A596ABDCD4440,Yes,apples; peaches; pumpkins; berries; sunflowers,http://www.bartonorchards.com/
34,Gull Meadow Farms,http://www.gullmeadowfarms.com/,269-629-4214,"8544 Gull Rd, Richland, MI 49083",8544 Gull Rd,Richland,49083,Michigan,1910,"{""Monday"": ""Closed"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-8PM"", ""Saturday"": ""9AM-8PM"", ""Sunday"": ""10AM-6PM""}",2025-08-23 16:58:32.737089+00,gull meadow farms|richland|michigan,1980,TRUE,42.3672872,-85.463664,0101000020E61000004815C5ABAC5D55C0A51E5844032F4540,Yes,apples; pumpkins; sunflowers,http://www.gullmeadowfarms.com/
35,Duffield's Farm Market,http://www.duffieldsfarm.com/,856-589-7090,"280 Chapel Heights Rd #9355, Sewell, NJ 08080",280 Chapel Heights Rd #9355,Sewell,8080,New Jersey,1880,"{""Monday"": ""9AM-7PM"", ""Tuesday"": ""9AM-7PM"", ""Wednesday"": ""9AM-7PM"", ""Thursday"": ""9AM-7PM"", ""Friday"": ""9AM-7PM"", ""Saturday"": ""9AM-7PM"", ""Sunday"": ""Closed""}",2025-08-23 16:58:32.737089+00,duffield's farm market|sewell|new jersey,1950,TRUE,39.7361613,-75.0942071,0101000020E61000004363377D07C652C0590A92883ADE4340,Yes,apples; pumpkins; peaches (limited time); strawberries (select dates),https://www.duffieldsfarm.com/pumpkin-picking; https://www.facebook.com/duffieldsfarm/posts/pop-up-pick-your-own-strawberries-is-happening-tomorrow-pick-your-own-strawberri/1116831520483126/
36,Beasley's Orchard,http://www.beasleys-orchard.com/,317-745-4876,"2304 E Main St, Danville, IN 46122",2304 E Main St,Danville,46122,Indiana,1878,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""12-6PM""}",2025-08-23 16:58:32.737089+00,beasley's orchard|danville|indiana,1948,TRUE,39.763694,-86.476637,0101000020E610000011C47938819E55C0621399B9C0E14340,Yes,strawberries; apples; pumpkins; sunflowers,http://www.beasleys-orchard.com/
37,Battleview Orchards,http://www.battlevieworchards.com/,732-462-0756,"91 Wemrock Rd, Freehold, NJ 07728",91 Wemrock Rd,Freehold,7728,New Jersey,1832,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""Closed"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,battleview orchards|freehold|new jersey,1902,TRUE,40.2597417,-74.3132699,0101000020E61000008FD4319D0C9452C027744D373F214440,Yes,strawberries; sour cherries; peaches; nectarines; apples,http://www.battlevieworchards.com/
38,Milburn Orchards,http://www.milburnorchards.com/,410-398-1349,"1495 Appleton Rd, Elkton, MD 21921",1495 Appleton Rd,Elkton,21921,Maryland,1831,"{""Monday"": ""Closed"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""9AM-5PM""}",2025-08-23 16:58:32.737089+00,milburn orchards|elkton|maryland,1901,TRUE,39.6703155,-75.8149585,0101000020E61000003946B24728F452C03E40F7E5CCD54340,Yes,strawberries; raspberries; blackberries; peaches; apples,http://www.milburnorchards.com/
39,Pine Tree Apple Orchard,http://www.pinetreeappleorchard.com/,651-429-7202,"450 Apple Orchard Rd, White Bear Lake, MN 55110",450 Apple Orchard Rd,White Bear Lake,55110,Minnesota,1794,,2025-08-23 16:58:32.737089+00,pine tree apple orchard|white bear lake|minnesota,1864,TRUE,45.106724,-92.954966,0101000020E6100000AFB2B6291E3D57C063D9CC21A98D4640,Yes,strawberries,http://www.pinetreeappleorchard.com/
40,Honey Pot Hill Orchards,http://www.honeypothill.com/,978-562-5666,"16 Boon Rd, Stow, MA 01775",16 Boon Rd,Stow,1775,Massachusetts,1764,"{""Monday"": ""9AM-5PM"", ""Tuesday"": ""9AM-5PM"", ""Wednesday"": ""9AM-5PM"", ""Thursday"": ""9AM-5PM"", ""Friday"": ""9AM-5PM"", ""Saturday"": ""9AM-5PM"", ""Sunday"": ""9AM-5PM""}",2025-08-23 16:58:32.737089+00,honey pot hill orchards|stow|massachusetts,1834,TRUE,42.4116342,-71.5138706,0101000020E61000000E588341E3E051C02175F16DB0344540,Yes,apples; peaches; pears,http://www.honeypothill.com/
41,Blooms & Berries Farm Market and Garden Center,http://www.bloomsandberries.com/,513-697-9173,"9669 OH-48, Loveland, OH 45140",9669 OH-48,Loveland,45140,Ohio,1742,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-6PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""9AM-5PM""}",2025-08-23 16:58:32.737089+00,blooms & berries farm market and garden center|loveland|ohio,1812,TRUE,39.2906514,-84.2101796,0101000020E610000053122395730D55C0B0C4A81034A54340,Yes,blackberries; blueberries; sugar snap peas; potatoes (u-dig),https://bloomsandberries.com/u-pick/u-pick-blackberries/; https://bloomsandberries.com/u-pick/u-pick-blueberries/; https://bloomsandberries.com/u-pick/u-pick-sugar-snap-peas/; https://bloomsandberries.com/u-pick/u-dig-potatoes/
42,Anderson Orchard,http://www.andersonorchard.com/,317-831-4181,"369 E Greencastle Rd, Mooresville, IN 46158",369 E Greencastle Rd,Mooresville,46158,Indiana,1676,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""8AM-6PM""}",2025-08-23 16:58:32.737089+00,anderson orchard|mooresville|indiana,1746,TRUE,39.6148405,-86.420332,0101000020E6100000965D30B8E69A55C0CEE0EF17B3CE4340,Yes,apples; peaches; pumpkins,http://www.andersonorchard.com/
43,Applecrest Farm Orchards,http://www.applecrest.com/,603-926-3721,"133 Exeter Rd, Hampton Falls, NH 03844",133 Exeter Rd,Hampton Falls,3844,New Hampshire,1669,"{""Monday"": ""8AM-6PM"", ""Tuesday"": ""8AM-6PM"", ""Wednesday"": ""8AM-6PM"", ""Thursday"": ""8AM-6PM"", ""Friday"": ""8AM-6PM"", ""Saturday"": ""8AM-6PM"", ""Sunday"": ""8AM-6PM""}",2025-08-23 16:58:32.737089+00,applecrest farm orchards|hampton falls|new hampshire,1739,TRUE,42.9323313,-70.8887708,0101000020E6100000F2E8EB9EE1B851C0C244CDA156774540,Yes,strawberries; blueberries; peaches; apples,http://www.applecrest.com/
44,Terhune Orchards,https://www.terhuneorchards.com/?utm_source=google,609-924-2310,"330 Cold Soil Rd, Princeton, NJ 08540",330 Cold Soil Rd,Princeton,8540,New Jersey,1654,"{""Monday"": ""9AM-6PM"", ""Tuesday"": ""9AM-6PM"", ""Wednesday"": ""9AM-6PM"", ""Thursday"": ""9AM-6PM"", ""Friday"": ""9AM-7PM"", ""Saturday"": ""9AM-6PM"", ""Sunday"": ""9AM-6PM""}",2025-08-23 16:58:32.737089+00,terhune orchards|princeton|new jersey,1724,TRUE,40.332021,-74.7255367,0101000020E61000000EA37B316FAE52C0E84A04AA7F2A4440,Yes,strawberries; blueberries; peaches; apples; pumpkins,https://www.terhuneorchards.com/
